Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-14,429.004,435.029,429.004,435.029,111.21335589649
2005-01-17,435.793,439.543,435.793,436.539,2609.0653293316
2005-01-18,435.793,435.793,410.967,410.967,217.97817755711
2005-01-19,412.082,435.029,412.082,435.029,6.6728013537893
2005-01-20,435.029,436.171,422.989,436.171,159.03509893197
2005-01-21,436.171,436.171,435.793,435.793,4.4485342358595
2005-01-24,435.029,435.029,422.252,426.01,85.634284040295
2005-01-25,426.01,426.01,421.486,422.252,46.709609476524
2005-01-26,423.358,429.004,421.486,425.246,341.42500260222
2005-01-27,429.381,433.527,421.865,433.527,334.75220124842
2005-01-28,434.282,434.282,426.01,434.282,42.261075240666
2005-01-31,444.065,444.065,435.793,439.543,206.85684196747
2005-02-01,440.298,440.298,435.029,440.298,152.36229757819
2005-02-02,440.298,451.592,440.298,451.592,877.47337802329
2005-02-03,451.592,451.592,447.824,451.592,41.148941681701
2005-02-04,444.065,466.662,440.298,466.662,549.39397812864
2005-02-07,470.411,470.411,466.662,468.164,811.85749804435
2005-02-08,481.695,481.695,468.164,474.17,1025.3871413656
2005-02-09,481.695,500.524,477.946,486.956,864.1277753157
2005-02-10,481.695,485.455,477.946,477.946,429.28355376044
2005-02-11,474.547,479.816,474.17,474.915,384.79821140185
2005-02-14,476.426,485.841,474.17,474.17,806.29683024953
2005-02-15,477.946,481.695,474.17,474.17,299.16392736155
2005-02-16,484.699,485.455,474.17,474.17,570.52451574898
2005-02-17,477.946,485.455,477.946,485.455,225.76311246987
2005-02-18,485.455,485.455,478.684,478.684,216.86604399815
2005-02-21,477.191,485.455,477.191,483.197,439.29275579112
2005-02-22,483.197,485.455,480.931,482.082,290.26685888983
2005-02-23,481.695,491.487,481.695,485.455,1107.685024729
2005-02-24,500.524,547.93,500.524,517.824,745.12948450647
2005-02-25,526.852,527.608,517.824,523.094,175.71710231645
2005-02-28,521.593,521.593,512.555,512.555,37.812541004806
2005-03-01,519.325,526.484,512.555,526.484,42.261075240666
2005-03-02,526.484,526.484,504.283,518.22,186.8384379061
2005-03-03,511.809,518.22,508.787,518.22,77.849349127541
2005-03-04,518.562,526.105,516.314,522.698,43.37320879963
2005-03-07,526.105,530.619,525.359,530.619,558.29104660037
2005-03-08,530.251,541.904,526.852,535.897,502.68436865212
2005-03-09,535.897,535.897,527.608,532.868,180.16563655231
2005-03-10,527.608,532.868,527.608,530.619,115.66189013235
